名称,面积,租价,房型,位置
惠新西街 小关北里 精装修两居室 环宇荟 恒毅大厦 城奥大厦,65.4㎡,7800,2  室  1  厅,"
                    小关北里                "
鲁谷六合园  精装三居室 家具家电齐全 随时看房,86㎡,6600,3  室  1  厅,"
                    六合园                "
酒仙桥芳园里2室1厅,55.65㎡,6500,2  室  1  厅,"
                    芳园里                "
"十里堡，石佛营,炫特嘉园，南北通透，大两居，采光好",75㎡,6900,2  室  1  厅,"
                    炫特嘉园一期                "
正阳桥 丰台火车站 西四环南路  文体路 正阳小区2室1厅,81㎡,5500,2  室  1  厅,"
                    正阳小区                "
梨园云景里南门2室1厅,89.05㎡,4500,2  室  1  厅,"
                    云景里南门                "
中关村海淀黄庄小区3室1厅装修好1层方便出行随时入住,60㎡,13500,3  室  1  厅,"
                    海淀黄庄小区                "
天通苑北一区！正规一居室出租！带电梯！自住装修！东西全齐！,55㎡,5000,1  室  1  厅,"
                    天通苑北一区                "
小西天文慧园路甲2号院2室1厅,56㎡,7800,2  室  1  厅,"
                    文慧园路甲2号院                "
小西天红联南村2室1厅,57.3㎡,6800,2  室  1  厅,"
                    红联南村                "
国贸CBD商圈长安街边精装修小户型+观景房拎包入住,45.47㎡,7500,1  室  1  厅,"
                    长安驿                "
大红门10号线建欣苑二里精装两室南北向随时住,83㎡,5900,2  室  1  厅,"
                    建欣苑二里                "
惠新西街惠新西街2室1厅,71㎡,7300,2  室  1  厅,"
                    惠新西街                "
红庙北里两室一厅一厨一卫，黄金楼层,65㎡,6300,2  室  1  厅,"
                    红庙北里                "
木樨地西便门西里2室1厅 便宜出租,49.66㎡,6500,2  室  1  厅,"
                    西便门西里                "
临河里土桥，加州小镇B区2室，业主诚心出租,48.61㎡,4000,2  室  1  厅,"
                    DBC加州小镇B区                "
土桥高楼金第1室0厅,40㎡,2900,1  室  0  厅,"
                    高楼金第                "
新风街1号院 天成科技大厦 双秀公园 精装修3居室,99㎡,16300,3  室  1  厅,"
                    新风街1号院                "
菜户营 丽泽商务区 精装一居室 随时入住 看房随时,64㎡,6500,2  室  1  厅,"
                    丽新嘉园                "
四惠东 青年路 甘露园 甘露园南里一区 西向一居室,50㎡,5200,1  室  1  厅,"
                    甘露园南里一区                "
安贞城市出品1室1厅,53㎡,7150,1  室  1  厅,"
                    城市出品                "
天通苑中苑 电梯一居,75㎡,5300,1  室  2  厅,"
                    天通苑中苑                "
潘家园，武圣东里2室1厅，业主直租，配套齐全，拎包入住,65㎡,5900,2  室  1  厅,"
                    武圣东里                "
枣园中建国际港2室1厅,86.96㎡,5800,2  室  1  厅,"
                    中建国际港                "
广安门荣丰2008豪华装修,34㎡,5000,1  室  1  厅,"
                    荣丰2008                "
木樨地汽南小区2室0厅 朝向好  长租房源,60㎡,8000,2  室  0  厅,"
                    汽南小区                "
双桥双柳巷小区1室1厅,51㎡,4400,1  室  1  厅,"
                    双柳巷小区                "
三元桥地铁附近 三源里街小区 南北通透三居室采光好 拎包入住,77.52㎡,8300,3  室  1  厅,"
                    三源里街                "
黄村火车站义和庄东里2室1厅,90㎡,3000,2  室  1  厅,"
                    义和庄东里                "
万寿路 五棵松 万寿路西街10号院 中间楼层南向1室1厅,37.6㎡,5100,1  室  1  厅,"
                    万寿路西街10号院                "
玉泉路玉海园五里2室1厅,80.5㎡,7200,2  室  1  厅,"
                    玉海园五里                "
宣武门 长椿街 金融街 新华社 沃尔玛 宣西大街两居室,41㎡,7800,2  室  1  厅,"
                    宣武门西大街                "
天通苑北一区 全南向两居室，出门即地铁，一家人优先,100㎡,6500,2  室  1  厅,"
                    天通苑北一区                "
常营万象新天四区1室1厅,69㎡,6200,1  室  1  厅,"
                    万象新天四区                "
玉泉路玉泉路小区1室1厅,45㎡,4000,1  室  1  厅,"
                    玉泉路小区                "
永定路西里电梯两居 南北向 家电齐全 看房随时,54㎡,6100,2  室  1  厅,"
                    永定路西里                "
太平桥首科花园东南朝向3室1厅，精装房随时入住,120㎡,9800,3  室  1  厅,"
                    首科花园                "
三元桥燕莎 天元港 三源里街小区 精装两居室 拎包入住,51㎡,7000,2  室  1  厅,"
                    三源里街                "
回龙观龙锦苑东一区2室1厅,101㎡,5800,2  室  1  厅,"
                    龙锦苑东一区                "
红庙红庙北里3室1厅,59.3㎡,8000,3  室  1  厅,"
                    红庙北里                "
酒仙桥 东坝奥林匹克花园三期下跃5室3厅2卫 南北通透,121㎡,14000,5  室  3  厅,"
                    奥林匹克花园三期                "
望京澳洲康都2室2厅房间干净整洁随时入住,97.54㎡,11000,2  室  2  厅,"
                    澳洲康都                "
公主坟颐源居2室1厅,67.7㎡,9600,2  室  1  厅,"
                    颐源居                "
龙泽龙泽苑东区2室1厅,105㎡,7500,2  室  1  厅,"
                    龙泽苑东区                "
马甸马甸月季园1室1厅,45.8㎡,6200,1  室  1  厅,"
                    马甸月季园                "
南沙滩五建小区，双南两居临近北沙滩地铁,65㎡,7033,2  室  1  厅,"
                    南沙滩五建小区                "
田村地铁 京粮广场 永达逸家 精装一居室 可看可住,50㎡,5300,1  室  0  厅,"
                    永达逸家                "
6号线 常营  管庄柏林爱乐二期 大开间,60.57㎡,5400,1  室  0  厅,"
                    柏林爱乐二期                "
东坝汇景苑3室1厅 精装修全齐 集中供暖 配套齐全 交通便利,90㎡,7000,3  室  1  厅,"
                    汇景苑                "
军博地铁 羊坊店社区医院 北京西站电信小区低楼层2室1厅,60㎡,7000,2  室  1  厅,"
                    电信小区                "
西直门交大东路36号2室1厅,73㎡,8800,2  室  1  厅,"
                    交大东路36号                "
龙泽龙泽苑西区2室1厅,80㎡,6500,2  室  1  厅,"
                    龙泽苑西区                "
崇文门前门东大街1室0厅,40㎡,5300,1  室  0  厅,"
                    前门东大街                "
五棵松新兴年代2室1厅,97.98㎡,7400,2  室  1  厅,"
                    新兴年代                "
临河里华业东方玫瑰C区1室1厅,75㎡,5200,1  室  1  厅,"
                    华业东方玫瑰C区                "
潘家园华威北里1室1厅,50㎡,4000,1  室  1  厅,"
                    华威北里                "
木樨地西便门西里 半地下两居 随时看房,60㎡,6500,2  室  1  厅,"
                    西便门西里                "
玉泉路19号院 一居室长租 家电齐全 高能所一号线地铁,45㎡,4300,1  室  1  厅,"
                    玉泉路19号院                "
定福庄定福庄西街2室1厅,50.33㎡,4500,2  室  1  厅,"
                    定福庄西街                "
安贞 安贞门 惠新西街南口 胜古北里新上小两居,43㎡,5000,2  室  1  厅,"
                    胜古北里                "
管庄住欣家园西区1室1厅,49.47㎡,5000,1  室  1  厅,"
                    住欣家园西区                "
地铁6号线北运河西站 运河湾北区精装两居室出租,87㎡,5500,2  室  1  厅,"
                    新华联运河湾北区                "
九棵树(家乐福)怡然世家3室1厅,85㎡,4600,3  室  1  厅,"
                    怡然世家                "
学院路 八家嘉园 精装修南北通透大两居室,94㎡,9400,2  室  1  厅,"
                    八家嘉园                "
新宫南庭新苑南区3室1厅,83㎡,6500,3  室  1  厅,"
                    南庭新苑南区                "
广信三居室两厅 业主一次出租  能长租 随时入住 带车位,130.03㎡,15000,3  室  2  厅,"
                    广信嘉园                "
月坛三里河二区A区1室1厅,56.5㎡,10500,1  室  1  厅,"
                    三里河二区A区                "
五棵松复兴路36号院2室1厅,75㎡,7300,2  室  1  厅,"
                    复兴路36号院                "
"回龙观首开国风美唐二期2室1厅,300米到地铁",77㎡,7600,2  室  1  厅,"
                    首开国风美唐二期                "
看房有钥匙 建国门崇文门 东单 北京站 抽屉胡同两居室 可租,55.94㎡,6700,2  室  1  厅,"
                    抽屉胡同                "
惠通时代，财满街，必看好房，铭基国际，精装自住型三居两卫,138㎡,11500,3  室  2  厅,"
                    首开熙悦尚郡                "
魏公村天作国际1室1厅,45㎡,7300,1  室  1  厅,"
                    天作国际                "
东花市-东花市北里西区3室2厅 看房随时 有钥匙！,182㎡,14600,3  室  2  厅,"
                    东花市北里西区                "
常营金隅丽景园1室1厅,56㎡,5500,1  室  1  厅,"
                    金隅丽景园                "
崇文门前门东大街南北三居家电齐全随时看可长租,62.46㎡,8000,3  室  0  厅,"
                    前门东大街                "
交通大学交大东路31号院2室1厅,58.1㎡,7200,2  室  1  厅,"
                    交大东路31号院                "
望京南湖东园一区2室2厅全南向，采光好，无遮挡，有电梯,124㎡,10500,2  室  2  厅,"
                    南湖东园一区                "
木樨地白云路7号院1室1厅,45㎡,5800,1  室  1  厅,"
                    白云路7号院                "
金台路，人民日报社新上西南向大两居，精装修，看房提前约,75㎡,9500,2  室  1  厅,"
                    人民日报社区                "
西城区达官营地铁7号线广安门小红庙2室1厅,47㎡,5100,2  室  1  厅,"
                    小红庙                "
4号线 新宫站 京粮悦谷首城南北通透户型两居室！,88.6㎡,5800,2  室  1  厅,"
                    京粮悦谷首城                "
车公庄西 动物园 建筑大学 五栋大楼车公庄北里两居室,50㎡,6600,2  室  1  厅,"
                    车公庄北里                "
菜户营鹏润家园2室1厅,68㎡,6600,2  室  1  厅,"
                    鹏润家园                "
公主坟翠微北里1室1厅,51㎡,6300,1  室  1  厅,"
                    翠微北里                "
梨园云景西里南区2室1厅,58㎡,3400,2  室  1  厅,"
                    云景西里南区                "
和平里 安贞桥北 精装修一居室,43㎡,6600,1  室  1  厅,"
                    安定路                "
定慧寺·西八里庄北里·1居室,44㎡,5400,1  室  1  厅,"
                    西八里庄北里                "
西单西绒线胡同1室1厅 精装一室一大厅 一层朝南,41.5㎡,7500,1  室  1  厅,"
                    西绒线胡同                "
红庙延静里中街2室1厅,57.6㎡,6100,2  室  1  厅,"
                    延静里中街                "
公主坟翠微北里2室1厅,50㎡,6800,2  室  1  厅,"
                    翠微北里                "
田村熙湖3室2厅,147㎡,11000,3  室  2  厅,"
                    熙湖                "
九棵树(家乐福)龙湖蔚澜香醍2室1厅,90㎡,6500,2  室  1  厅,"
                    龙湖蔚澜香醍                "
菜户营 蓝调国际 南想两居 精装修 前后花园 随时入住,75㎡,7000,2  室  1  厅,"
                    顺驰蓝调国际                "
建华南路长安6号1室1厅,50㎡,6800,1  室  1  厅,"
                    长安6号                "
建  外长安6号1室0厅,56.15㎡,7600,1  室  0  厅,"
                    长安6号                "
【急租】霍营回龙观地铁口 龙跃苑温馨三室 南北通透 户型方正,96㎡,6800,3  室  1  厅,"
                    龙跃苑一区                "
天宫院·天宫院小区·2居室,88㎡,3850,2  室  1  厅,"
                    天宫院小区                "
中央别墅区·东方瑞平家园·1居室,60㎡,5800,1  室  1  厅,"
                    东方瑞平家园                "
北苑北苑家园绣菊园2室1厅,85㎡,7400,2  室  1  厅,"
                    北苑家园绣菊园                "
临河里华业东方玫瑰B区2室1厅,80.01㎡,4200,2  室  1  厅,"
                    华业东方玫瑰B区                "
南北通透，三居室，兴隆家园，朝青大悦城，青年路，四惠东,134.82㎡,9700,3  室  2  厅,"
                    兴隆家园                "
国贸、大望路，四惠东、四惠通惠家园惠民园3室1厅,105㎡,9600,3  室  1  厅,"
                    通惠家园惠民园                "
东坝汇景苑2室1厅 精装修全齐 集中供暖 配套齐全 交通便利,83㎡,6200,2  室  1  厅,"
                    汇景苑                "
青塔青塔南里2室1厅,70㎡,5100,2  室  1  厅,"
                    青塔南里                "
6号线14号线金台路红庙金台北街2室1厅,64㎡,6600,2  室  1  厅,"
                    金台北街                "
崇文门 台基厂 前门东大街三居室,62.48㎡,9500,3  室  1  厅,"
                    前门东大街                "
天宁寺白菜湾四巷17号院2室1厅,56㎡,6500,2  室  1  厅,"
                    白菜湾四巷17号院                "
立水桥佳运园一期2室1厅,72㎡,5600,2  室  1  厅,"
                    佳运园一期                "
广安门  天宁寺 白菜湾 车站东街广安苑2室1厅,90.54㎡,8500,2  室  1  厅,"
                    广安苑                "
常营北辰福第中区3室1厅,87.52㎡,6500,3  室  1  厅,"
                    北辰福第中区                "
万寿路万寿路西街9号院2室1厅,60㎡,7900,2  室  1  厅,"
                    万寿路西街9号院                "
管庄管庄东里3室1厅,102㎡,6500,3  室  1  厅,"
                    管庄东里                "
天通苑天通苑东三区2居室 南北通透 随时看,63.4㎡,5200,2  室  1  厅,"
                    天通苑东三区                "
石景山 八角地铁南 西引力精装全齐1居室出租,50㎡,4500,1  室  1  厅,"
                    西引力                "
天通苑天通苑中苑二锁一整租,115㎡,5300,1  室  1  厅,"
                    天通苑中苑                "
军博会城门小区正规2室1厅 能长租近菜市场木樨地,60㎡,7200,2  室  1  厅,"
                    会城门小区                "
长椿街广安门北街20号3室1厅,100㎡,11000,3  室  1  厅,"
                    广安门北街20号                "
广安门外 白纸坊 天宁寺 车站东街15号院2室1厅5700,63㎡,5700,2  室  1  厅,"
                    车站东街15号院                "
万寿路 五棵松 万寿路西街9号院 精装南向1室1厅,37㎡,5200,1  室  1  厅,"
                    万寿路西街9号院                "
苏州桥·海淀南路·1居室,42㎡,6890,1  室  1  厅,"
                    海淀南路                "
木樨地·西便门西里·2居室,53㎡,5500,2  室  1  厅,"
                    西便门西里                "
"老山东里 3室1厅,南北通透户型，电梯房，近地铁一号线",65㎡,6000,3  室  1  厅,"
                    老山东里                "
燕莎桥 三元桥 新源街2室1厅,64㎡,7000,2  室  1  厅,"
                    新源街                "
青塔青塔南里1室1厅,55㎡,4600,1  室  1  厅,"
                    青塔南里                "
望京东湖渠华彩利泽西园1室0厅,50㎡,6400,1  室  0  厅,"
                    利泽西园                "
亚运村安慧里二区1室2厅,50.64㎡,7000,2  室  1  厅,"
                    安慧里二区                "
常营 金隅丽景园 2室1厅,70㎡,5800,2  室  1  厅,"
                    金隅丽景园                "
公主坟 翠微路20号院 精装修一居室 家具家电齐全 配套齐全,47㎡,5500,1  室  1  厅,"
                    翠微路20号院                "
前门 王府井 东交民巷精装两居室,50㎡,6300,2  室  0  厅,"
                    东交民巷                "
科技园区·城市经典·2居室,68㎡,5500,2  室  1  厅,"
                    城市经典                "
马连道丽泽雅园2室1厅,78㎡,7000,2  室  1  厅,"
                    丽泽雅园                "
杨庄杨庄中区2室1厅,68.66㎡,5600,2  室  1  厅,"
                    杨庄中区                "
黄村火车站义和庄北里2室1厅 交通便利 看房方便,64㎡,3000,2  室  1  厅,"
                    义和庄北里                "
常营保利嘉园三号院2室1厅,89㎡,6200,2  室  1  厅,"
                    保利嘉园三号院                "
望京花家地小区2室1厅,55.27㎡,6800,2  室  1  厅,"
                    花家地小区                "
万达对面 老山东里精装3居 近地铁,65㎡,6000,3  室  1  厅,"
                    老山东里                "
天通苑天通公园里1室1厅,60.68㎡,5500,1  室  1  厅,"
                    天通公园里                "
五道口语言学院3室1厅,75㎡,10000,3  室  1  厅,"
                    语言学院                "
管庄建东苑西区2室1厅,85㎡,5300,2  室  1  厅,"
                    建东苑西区                "
前门，王府井台基厂三条2室1厅,57.17㎡,7200,2  室  1  厅,"
                    台基厂三条                "
梨园·梨花园·2居室,103㎡,3500,2  室  2  厅,"
                    梨花园                "
天宁寺新居东里3室1厅,70㎡,7800,3  室  1  厅,"
                    新居东里                "
黄村北保利茉莉公馆3室2厅，南北通透小三居，近地铁，随时看,89㎡,6400,3  室  2  厅,"
                    保利茉莉公馆                "
八角石景嘉园1室1厅,54㎡,3500,1  室  1  厅,"
                    石景嘉园                "
苹果园·苹果园四区·1居室,48㎡,4500,1  室  1  厅,"
                    苹果园四区                "
广安门 椿树馆 高新大厦 贵都国际 宁寺白菜湾社区2室1厅,56㎡,6000,2  室  1  厅,"
                    白菜湾社区                "
田村田村雪芳园2室2厅,105㎡,8500,2  室  2  厅,"
                    田村雪芳园                "
公主坟翠微中里2室1厅,43.2㎡,5800,2  室  1  厅,"
                    翠微中里                "
杨庄首钢杨庄小区2室1厅,60㎡,4500,2  室  1  厅,"
                    首钢杨庄小区                "
皂君庙大钟寺甲133号院1室1厅,45㎡,8300,2  室  1  厅,"
                    大钟寺甲133号院                "
九棵树(家乐福)靓景明居2室2厅,108㎡,5200,2  室  2  厅,"
                    靓景明居                "
万寿路万寿路8号院1室1厅,65㎡,6300,2  室  1  厅,"
                    万寿路8号院                "
望京北纬40度二期全南两居 中楼层采光好前后无遮挡 采光好,87㎡,10500,2  室  1  厅,"
                    北纬40度二期                "
公主坟柳林馆南里1室1厅,41.1㎡,6000,1  室  1  厅,"
                    柳林馆南里                "
马连洼紫城嘉园1室1厅,50㎡,5800,1  室  1  厅,"
                    紫城嘉园                "
西二旗博雅德园3室2厅,230㎡,20000,3  室  2  厅,"
                    博雅德园                "
西二旗博雅德园3室2厅随时入住 小米百度快手滴滴联想网易新浪,138㎡,12000,3  室  2  厅,"
                    博雅德园                "
中高楼层 采光好 先到先得 高楼层 有钥匙随时看,58㎡,2900,1  室  1  厅,"
                    加州水郡西区三期                "
金融街宏汇园1室1厅,50㎡,8500,1  室  1  厅,"
                    宏汇园                "
卢沟桥晓月新城2室1厅,95㎡,4700,2  室  1  厅,"
                    晓月新城                "
店长推荐 龙泽 回龙观13号线地铁 天慧园2居室  随时入住,88.6㎡,6500,2  室  1  厅,"
                    天慧园                "
乔庄·玉桥北里·2居室,56㎡,3100,2  室  1  厅,"
                    玉桥北里                "
六铺炕·德隆家园6号院·2居室,51㎡,7000,2  室  1  厅,"
                    德隆家园6号院                "
木樨地北里2室1厅，看房提前联系业主，小区环境好，地铁边上！,59.6㎡,7500,2  室  1  厅,"
                    木樨地北里                "
管庄 常营 北京新天地一期 精装1室1厅 常营天街,65㎡,5600,1  室  1  厅,"
                    北京新天地一期                "
公主坟翠微南里3室1厅，10月中旬可入驻，板楼低层。,80㎡,9200,3  室  1  厅,"
                    翠微南里                "
海淀玉泉路采石北路 田村永定路1号院正规两居室,56.8㎡,6000,2  室  1  厅,"
                    永定路1号院                "
方庄·芳城园一区·2居室,64㎡,5600,2  室  1  厅,"
                    芳城园一区                "
卢沟桥·晓月新城·1居室,41㎡,3100,1  室  1  厅,"
                    晓月新城                "
军博新华社精装电梯一居室，长租朝东，可看房,46.6㎡,6000,1  室  1  厅,"
                    新华社宿舍                "
家具家电齐全 拎包入住 看房联系皂君庙鑫雅苑2室2厅,107㎡,11500,2  室  2  厅,"
                    鑫雅苑                "
梨园时尚街区东区2室1厅,67.67㎡,4300,2  室  1  厅,"
                    时尚街区东区                "
鲁谷·六合园·1居室,49㎡,3900,1  室  1  厅,"
                    六合园                "
乔庄·乔庄北街3号院·2居室,74㎡,3200,2  室  1  厅,"
                    乔庄北街3号院                "
广安门小红庙3室1厅,70㎡,7600,3  室  1  厅,"
                    小红庙                "
国展力鸿花园3室0厅,140㎡,14000,3  室  0  厅,"
                    力鸿花园                "
东外公馆,47㎡,7600,0  室  0  厅,"
                    东外公馆                "
白纸坊鸭子桥路3室1厅,65.84㎡,7200,3  室  1  厅,"
                    鸭子桥路                "
金融街 长椿街 广安门 牛街 宣武便宜一居室,42.22㎡,6200,1  室  1  厅,"
                    宣武门西大街                "
长阳天资华府1室1厅,58㎡,3000,1  室  1  厅,"
                    天资华府                "
宣武门 椿树园 海格国际大厦 大开间 可办公可居家 看房随时,65㎡,8000,1  室  1  厅,"
                    海格国际大厦                "
武夷花园运河明珠2室1厅   北运河西地铁口,80㎡,4800,2  室  1  厅,"
                    运河明珠                "
苹果园·模式口西里·2居室,57㎡,3800,2  室  1  厅,"
                    模式口西里                "
新华大街·后南仓·2居室,54㎡,3900,2  室  1  厅,"
                    后南仓                "
旧宫·万源南里·2居室,62㎡,3700,2  室  1  厅,"
                    万源南里                "
管庄·北京新天地五期·2居室,93㎡,6400,2  室  1  厅,"
                    北京新天地五期                "
北苑·美立方·1居室,38㎡,4900,1  室  1  厅,"
                    美立方                "
马家堡·马家堡西里·2居室,59㎡,5400,2  室  1  厅,"
                    马家堡西里                "
临河里土桥 高楼金站加州小镇精装一居 看房随时拎包住,57㎡,3800,1  室  1  厅,"
                    DBC加州小镇B区                "
管庄·北京新天地四期·1居室,61㎡,5000,1  室  1  厅,"
                    北京新天地四期                "
公主坟翠微中里2室1厅,42.46㎡,6100,2  室  1  厅,"
                    翠微中里                "
劲松农光南里2室1厅,65㎡,6500,2  室  1  厅,"
                    农光南里                "
和平里·化工大院·2居室,55㎡,6300,2  室  1  厅,"
                    化工大院                "
五道口地质大学两居室出租,60㎡,7800,2  室  1  厅,"
                    地质大学                "
木樨地国务院宿舍2室1厅,65㎡,6000,2  室  1  厅,"
                    国务院宿舍                "
天通苑·天通苑本四区·2居室,74㎡,5000,2  室  1  厅,"
                    天通苑本四区                "
广安门·京铁和园·1居室,37㎡,4400,1  室  1  厅,"
                    京铁和园                "
石景山周边·高井电厂宿舍·1居室,35㎡,2500,1  室  1  厅,"
                    高井电厂宿舍                "
新华大街·后南仓·2居室,56㎡,3450,2  室  1  厅,"
                    后南仓                "
临河里·DBC加州小镇C区·1居室,58㎡,3500,1  室  1  厅,"
                    DBC加州小镇C区                "
青塔·青塔蔚园·2居室,49㎡,4600,2  室  1  厅,"
                    青塔蔚园                "
西坝河·光熙门北里·2居室,62㎡,6800,2  室  1  厅,"
                    光熙门北里                "
南沙滩·南沙滩五建小区·1居室,43㎡,5600,1  室  1  厅,"
                    南沙滩五建小区                "
皂君庙农科院教师家属楼2室1厅,77.5㎡,11888,2  室  1  厅,"
                    农科院教师家属楼                "
甜水园·秀水园小区·2居室,58㎡,5980,2  室  1  厅,"
                    秀水园小区                "
西三旗·建材东一里·2居室,53㎡,5200,2  室  1  厅,"
                    建材东一里                "
石佛营·八里庄北里·2居室,68㎡,5999,2  室  1  厅,"
                    八里庄北里                "
新宫·南庭新苑北区·2居室,58㎡,4800,2  室  1  厅,"
                    南庭新苑北区                "
果园·复兴南里·2居室,57㎡,3500,2  室  1  厅,"
                    复兴南里                "
西直门·西直门铁路小区·2居室,71㎡,7700,2  室  1  厅,"
                    西直门铁路小区                "
双桥康城别墅二期5室3厅,278㎡,28000,5  室  3  厅,"
                    康城别墅二期                "
六里桥·金家村·2居室,53㎡,6200,2  室  1  厅,"
                    金家村                "
方庄·10AM新坐标·1居室,39㎡,4700,1  室  1  厅,"
                    10AM新坐标                "
洋桥·洋桥北里·2居室,53㎡,4600,2  室  1  厅,"
                    洋桥北里                "
古城·古城路·1居室,26㎡,3600,1  室  1  厅,"
                    古城路                "
定慧寺·定慧寺东里·1居室,45㎡,5400,1  室  1  厅,"
                    定慧寺东里                "
紫竹桥·三虎桥南路25号院·1居室,39㎡,5600,1  室  1  厅,"
                    三虎桥南路25号院                "
新上 青塔 岳各庄 梅市口路 珠江峰景2室1厅,89㎡,6500,2  室  1  厅,"
                    珠江峰景                "
马驹桥莲水怡园3室2厅,132㎡,6500,3  室  2  厅,"
                    莲水怡园                "
欢乐谷翠成馨园C区2室1厅,89㎡,6200,2  室  1  厅,"
                    翠成馨园C区                "
良乡海逸半岛2室2厅,123.54㎡,4500,2  室  2  厅,"
                    海逸半岛                "
十八里店鸿博家园一期3室1厅,108㎡,5840,3  室  1  厅,"
                    鸿博家园一期                "
朝阳公园丽水嘉园2室2厅,113㎡,14000,2  室  2  厅,"
                    丽水嘉园                "
定福庄妇联小区1室1厅,41㎡,4200,1  室  1  厅,"
                    妇联小区                "
十里堡京棉三厂朝阳路，苏宁远洋两居室,98㎡,7980,2  室  1  厅,"
                    京棉三厂                "
甜水园·六里屯东里·2居室,64㎡,5980,2  室  1  厅,"
                    六里屯东里                "
CBD·南郎家园·1居室,45㎡,4800,1  室  1  厅,"
                    南郎家园                "
乔庄·玉桥北里·2居室,57㎡,3100,2  室  1  厅,"
                    玉桥北里                "
公主坟·翠微南里·2居室,54㎡,5400,2  室  1  厅,"
                    翠微南里                "
黄村火车站车站中里3室1厅,80㎡,4200,3  室  1  厅,"
                    车站中里                "
黄村火车站建兴家园2室1厅  家电齐全 临地铁,80.56㎡,3800,2  室  1  厅,"
                    建兴家园                "
望京  善各庄 东方瑞平家园精装修一居室 看房提前联系,61.5㎡,6200,1  室  1  厅,"
                    东方瑞平家园                "
古城·樱花苑·1居室,57㎡,4300,1  室  1  厅,"
                    樱花苑                "
清河·清河毛纺厂南小区·1居室,35㎡,4500,1  室  1  厅,"
                    清河毛纺厂南小区                "
潘家园·弘善家园·1居室,50㎡,4600,1  室  1  厅,"
                    弘善家园                "
惠新西街·胜古北里·2居室,50㎡,7300,2  室  1  厅,"
                    胜古北里                "
草桥·风景CLUB·1居室,52㎡,5500,1  室  1  厅,"
                    风景CLUB                "
建国门外·长安6号·1居室,43㎡,6000,1  室  1  厅,"
                    长安6号                "
九棵树(家乐福)·通大家园·3居室,128㎡,5800,3  室  1  厅,"
                    通大家园                "
潘家园·弘善家园·2居室,72㎡,6150,2  室  1  厅,"
                    弘善家园                "
方庄·芳城园一区·2居室,61㎡,6500,2  室  1  厅,"
                    芳城园一区                "
南沙滩南沙滩和谐小区1室1厅,37㎡,5900,1  室  1  厅,"
                    南沙滩和谐小区                "
公主坟翠微南里2室1厅，南北通透，中间楼层，居家长租。,57㎡,6850,2  室  1  厅,"
                    翠微南里                "
石景山其它高井教工楼2室1厅,50㎡,2800,2  室  1  厅,"
                    高井教工楼                "
阜成门·北礼士路60号院·2居室,61㎡,7800,2  室  1  厅,"
                    北礼士路60号院                "
月坛·南礼士路三条北里·2居室,57㎡,7500,2  室  1  厅,"
                    南礼士路三条北里                "
东四环边 朝阳公园14号线地铁 东风北桥将台 360 798,68㎡,6500,2  室  1  厅,"
                    南十里居10号院                "
良乡明源北里2室1厅,61㎡,2700,2  室  1  厅,"
                    明源北里                "
七里庄 国润大厦 保利欣苑 三室一厅,127㎡,9000,3  室  1  厅,"
                    保利欣苑                "
新上！大望路珠江帝景B区精装3室2厅3卫 南北通透 带储物间,180㎡,24000,3  室  2  厅,"
                    珠江帝景B区                "
龙泽新龙城3室1厅,112㎡,9000,3  室  1  厅,"
                    新龙城                "
双桥地铁站 双柳巷小区2室1厅,80㎡,5500,2  室  1  厅,"
                    双柳巷小区                "
劲松潘家园地铁口 建业苑小区 3室2厅,132㎡,9500,3  室  2  厅,"
                    建业苑                "
天通苑天通苑东一区2室1厅,90㎡,6200,2  室  1  厅,"
                    天通苑东一区                "
望京东 国风北京 精装三居室 诚意出租 看房方便 紧邻阿里！,150㎡,16500,3  室  2  厅,"
                    国风北京                "
北苑领地OFFICE 拎包入住 带阳台,79.24㎡,7500,2  室  1  厅,"
                    领地OFFICE                "
双井·首城国际·1居室,45㎡,6500,1  室  1  厅,"
                    首城国际                "
和平里·和平里一区·1居室,42㎡,6500,1  室  1  厅,"
                    和平里一区                "
长椿街·长椿街·1居室,44㎡,4600,1  室  1  厅,"
                    长椿街                "
立水桥合立方2室1厅,73㎡,6700,2  室  1  厅,"
                    合立方                "
五棵松 301总院 京铁家园2室1厅,96㎡,7700,2  室  1  厅,"
                    京铁家园                "
丰益桥 泥洼 东瑞丽景精装两居室,99㎡,7500,2  室  1  厅,"
                    东瑞丽景                "
劲松华腾园3室2厅,122.8㎡,13000,3  室  2  厅,"
                    华腾园                "
北苑北苑家园莲葩园2室1厅,125.08㎡,7700,2  室  1  厅,"
                    北苑家园莲葩园                "
临河里华业东方玫瑰D区3室1厅,93㎡,6000,3  室  1  厅,"
                    华业东方玫瑰D区                "
朝阳门潘家坡2室1厅,57㎡,8500,2  室  1  厅,"
                    潘家坡                "
长安街西 翠微百货边 电梯高层一居室 全天采光,40㎡,5500,1  室  1  厅,"
                    翠微路17号院                "
东坝 姚家园 金隅嘉品茂商场附近 高杨树南里2居室,47㎡,3800,1  室  1  厅,"
                    高杨树南里                "
玉桥·玉桥南里·1居室,48㎡,2800,1  室  1  厅,"
                    玉桥南里                "
公主坟·翠微路16号院·1居室,38㎡,5300,1  室  1  厅,"
                    翠微路16号院                "
五里店·丰西北里·2居室,53㎡,3300,2  室  1  厅,"
                    丰西北里                "
月坛三里河三区精装2室1厅，中间楼层，看房方便。,52㎡,8600,2  室  1  厅,"
                    三里河三区                "
